"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_NTHI_PATHWAY",22,0.0454545454545455,0.363636363636364,"Up",0.0831,0.232689130434783,0.0867,0.138839240506329
"BIOCARTA_SET_PATHWAY",11,0.363636363636364,0.0909090909090909,"Down",0.0836,0.232689130434783,0.0104,0.0510872727272727
"BIOCARTA_BAD_PATHWAY",24,0.0416666666666667,0.25,"Up",0.0847,0.232689130434783,0.2912,0.335021917808219
"BIOCARTA_AT1R_PATHWAY",25,0.12,0.36,"Up",0.085,0.232689130434783,0.0458,0.0983647058823529
"BIOCARTA_WNT_LRP6_PATHWAY",6,0,0.333333333333333,"Up",0.0868,0.235064516129032,0.2941,0.336820909090909
"BIOCARTA_TALL1_PATHWAY",13,0,0.307692307692308,"Up",0.09,0.237321649484536,0.1367,0.176593846153846
"BIOCARTA_TOLL_PATHWAY",24,0.0833333333333333,0.291666666666667,"Up",0.0905,0.237321649484536,0.058,0.108173333333333
"BIOCARTA_TCR_PATHWAY",41,0.024390243902439,0.219512195121951,"Up",0.0912,0.237321649484536,0.1028,0.150540697674419
"BIOCARTA_LIS1_PATHWAY",14,0.142857142857143,0.5,"Up",0.0914,0.237321649484536,0.0061,0.0412054054054054
"BIOCARTA_STAT3_PATHWAY",8,0,0.5,"Up",0.0979,0.249836363636364,0.1103,0.155212290502793
"BIOCARTA_COMP_PATHWAY",16,0,0.1875,"Up",0.0982,0.249836363636364,0.0779,0.131665771812081
"BIOCARTA_IL3_PATHWAY",15,0.0666666666666667,0.333333333333333,"Up",0.1003,0.25263,0.0568,0.108173333333333
"BIOCARTA_IL5_PATHWAY",8,0,0.125,"Up",0.103,0.256865346534653,0.6476,0.663343902439024
"BIOCARTA_ARENRF2_PATHWAY",18,0.333333333333333,0.222222222222222,"Down",0.1044,0.257805882352941,0.0055,0.03815
"BIOCARTA_HDAC_PATHWAY",24,0,0.166666666666667,"Up",0.1059,0.258972815533981,0.4596,0.487535294117647
"BIOCARTA_TERC_PATHWAY",6,0,0.333333333333333,"Up",0.1083,0.260840322580645,0.0999,0.148012941176471
"BIOCARTA_GLEEVEC_PATHWAY",23,0.0869565217391304,0.347826086956522,"Up",0.1132,0.260840322580645,0.0368,0.0882
"BIOCARTA_FOSB_PATHWAY",5,0.2,0.4,"Up",0.1142,0.260840322580645,0.0026,0.0266
"BIOCARTA_CTLA4_PATHWAY",16,0.0625,0.25,"Up",0.1144,0.260840322580645,0.1152,0.157705434782609
"BIOCARTA_NOTCH_PATHWAY",6,0,0.333333333333333,"Up",0.1166,0.260840322580645,0.1298,0.173
"BIOCARTA_ERK5_PATHWAY",14,0,0.428571428571429,"Up",0.1171,0.260840322580645,0.1336,0.173737113402062
"BIOCARTA_TRKA_PATHWAY",13,0,0.230769230769231,"Up",0.1174,0.260840322580645,0.2123,0.251112676056338
"BIOCARTA_GATA3_PATHWAY",14,0,0.285714285714286,"Up",0.1185,0.260840322580645,0.0675,0.117918620689655
"BIOCARTA_TPO_PATHWAY",25,0.04,0.36,"Up",0.1187,0.260840322580645,0.0338,0.0833823529411765
"BIOCARTA_TCRA_PATHWAY",9,0,0.111111111111111,"Up",0.12,0.260840322580645,0.3926,0.431976419213974
