"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_MITOCHONDRIA_PATHWAY",19,0.263157894736842,0.315789473684211,"Up",0.8778,0.933303797468354,0.0011,0.0203538461538462
"BIOCARTA_PLATELETAPP_PATHWAY",13,0.153846153846154,0.153846153846154,"Up",0.8857,0.937747058823529,0.3728,0.413801762114537
"BIOCARTA_ARF_PATHWAY",16,0.1875,0.25,"Up",0.8988,0.947635983263598,0.0649,0.11673
"BIOCARTA_ATM_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.9135,0.9591225,0.0484,0.0994682926829268
"BIOCARTA_CHEMICAL_PATHWAY",18,0.277777777777778,0.333333333333333,"Down",0.9228,0.961177777777778,0.0109,0.0510872727272727
"BIOCARTA_S1P_PATHWAY",6,0.166666666666667,0,"Down",0.9264,0.961177777777778,0.1599,0.197236097560976
"BIOCARTA_TSP1_PATHWAY",7,0.285714285714286,0.285714285714286,"Down",0.9269,0.961177777777778,6e-04,0.0171818181818182
"BIOCARTA_ACETAMINOPHEN_PATHWAY",5,0,0.2,"Down",0.9368,0.964207317073171,0.2905,0.335021917808219
"BIOCARTA_CB1R_PATHWAY",7,0.142857142857143,0.142857142857143,"Up",0.9393,0.964207317073171,0.2969,0.338489592760181
"BIOCARTA_BARR_MAPK_PATHWAY",14,0.214285714285714,0.214285714285714,"Down",0.9413,0.964207317073171,0.1418,0.179502512562814
"BIOCARTA_VOBESITY_PATHWAY",8,0.25,0.25,"Down",0.9547,0.973742168674699,0.0658,0.117510638297872
"BIOCARTA_MSP_PATHWAY",6,0.166666666666667,0,"Up",0.9589,0.973742168674699,0.627,0.647505737704918
"BIOCARTA_PS1_PATHWAY",14,0.0714285714285714,0.142857142857143,"Up",0.9622,0.973742168674699,0.1062,0.151413559322034
"BIOCARTA_BTG2_PATHWAY",10,0.3,0.4,"Down",0.969,0.9767016,0.0117,0.0519473684210526
"BIOCARTA_BCELLSURVIVAL_PATHWAY",16,0.25,0.25,"Up",0.9736,0.977428685258964,0.0029,0.0266
"BIOCARTA_G1_PATHWAY",26,0.192307692307692,0.269230769230769,"Up",0.9793,0.9793,0.0122,0.0527896551724138
