sample,Sex,Group,LT1mean,LT2mean,LT3mean,LT1med,LT2med,LT3med,I1mean,I2mean,I3mean,I1med,I2med,I3med,IR13mean,IR23mean
3,F,control,4.2112085456057,3.54111077351113,3.06656097610853,4.22339566674977,3.50804407456297,2.99067217581067,4.97024431732799,4.87157569162932,4.12711076564263,4.92020908281107,4.820600786635,4.11154082463349,0.559418799795071,0.533160601886301
4,M,control,3.83846227973855,3.25962054193927,2.83153880040476,3.88190518528741,3.25685374292696,2.81312072556861,6.8738176532427,6.04049845381568,5.5906926661096,6.827364684856,5.93222979096693,5.4910198677463,0.549599951454512,0.521356722874714
5,M,control,3.66373033106195,3.35398120202988,3.05777483152764,3.73663039871985,3.40611057239452,3.05614286307333,6.09962872940396,5.42619340116008,4.8129279719335,5.88768472690868,5.30036406387348,4.57759109869556,0.603892828655903,0.490086518881047
6,M,control,4.06390787663014,3.24291007816314,2.86808108185579,4.10810336395863,3.2425937218468,2.84946755346244,7.35569942241869,6.53464704994987,4.90127293352201,7.3043170373428,6.41308367892531,4.82145769659596,0.604373584576058,0.56769045012896
8,F,test,4.04091944878192,2.91037321634627,2.58990176652239,4.05815304052827,2.90039866922019,2.54704832302045,4.72871561769291,3.93129279366101,3.1487269823643,4.6623997489324,3.73648616004121,3.0448497003817,0.591192449639675,0.570701545074448
9,F,test,4.04156619025897,2.92267532251431,2.64356461861537,4.05715706469692,2.92691844265766,2.59875999301343,3.7622295186918,2.75634737630073,2.47320326893877,3.66740956966187,2.73450857386652,2.40453276935885,0.58594137811958,0.551828710079403
11,M,test,3.91719352805022,2.95137003603491,2.67927385884644,4.00187930489363,2.95724811922629,2.65682130795563,3.99772308347989,3.03756319818945,3.45795033076462,3.90480960493724,2.92885560601338,3.4037486391896,0.533549855623753,0.475618696337056
12,M,test,4.24177052937008,3.03872328565435,2.70998121178531,4.30410768244056,3.03557553431639,2.65595120996122,2.86290987137574,2.58800896609061,2.81791381571316,2.78889079927747,2.5274220601176,2.84664512414498,0.526751244389029,0.471433885090527
