"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ccl21a","Ccl21a","Mm_R_NGS_WTA_v1.0","Endogenous","100041504, 100862177, 65956, 100504362, 18829, 100504239, 100041593, 100504346, 100042493","Gm13304, Gm10591, LOC100041504, Ccl21a, Ccl21c, Ccl21b, Ccl21d, Gm1987, LOC100041593",FALSE,FALSE,0.160899827307567,4.59923759522222,1.18495954128941,0.248321599097984,0.619500635190335,-5.71403335373277
"Cyp4f18","Cyp4f18","Mm_R_NGS_WTA_v1.0","Endogenous","72054","Cyp4f18",FALSE,FALSE,0.152321628928864,4.15582996739571,1.18471166976665,0.248417660504769,0.619637615547902,-5.66484643363495
"Dnaaf9","Dnaaf9","Mm_R_NGS_WTA_v1.0","Endogenous","228602","Dnaaf9",FALSE,FALSE,-0.157579468184342,4.33715621033171,-1.18462646131537,0.248450689033678,0.619637615547902,-5.68064472020055
"Aasdh","Aasdh","Mm_R_NGS_WTA_v1.0","Endogenous","231326","Aasdh",FALSE,FALSE,-0.1500078146017,4.33458751482985,-1.18457761476547,0.24846962442824,0.619637615547902,-5.68175619996983
"Igsf10","Igsf10","Mm_R_NGS_WTA_v1.0","Endogenous","242050","Igsf10",FALSE,FALSE,0.15140968574475,4.54957960138467,1.18432269223224,0.248568462784781,0.619726643774342,-5.71059622961586
"Pigp","Pigp","Mm_R_NGS_WTA_v1.0","Endogenous","56176","Pigp",FALSE,FALSE,0.143855056647639,5.67863665599618,1.18431001961381,0.248573376967684,0.619726643774342,-5.74978400684304
"Amh","Amh","Mm_R_NGS_WTA_v1.0","Endogenous","11705","Amh",FALSE,FALSE,-0.173123332404424,3.78275440761685,-1.18423376694399,0.24860294772848,0.619726643774342,-5.5962775188521
"Lalba","Lalba","Mm_R_NGS_WTA_v1.0","Endogenous","16770","Lalba",FALSE,FALSE,0.182035935140479,3.70430715045558,1.18416530606379,0.24862949907272,0.619726643774342,-5.58444709682615
"Mrps11","Mrps11","Mm_R_NGS_WTA_v1.0","Endogenous","67994","Mrps11",FALSE,FALSE,0.155052416178779,5.56652189823396,1.18363692502537,0.248834493545715,0.620160174113996,-5.75154353569116
"Olfr606","Olfr606","Mm_R_NGS_WTA_v1.0","Endogenous","259098","Olfr606",FALSE,FALSE,0.186181013667988,3.66702641959739,1.18344012381791,0.248910878175164,0.620253155407694,-5.57669538137446
"Card10","Card10","Mm_R_NGS_WTA_v1.0","Endogenous","105844","Card10",FALSE,FALSE,0.194086760706474,5.27114161859851,1.19183453927673,0.248933941848743,0.620253155407694,-5.73920789816215
"Tgfbr3","Tgfbr3","Mm_R_NGS_WTA_v1.0","Endogenous","21814","Tgfbr3",FALSE,FALSE,0.170812422949884,4.29304590146545,1.18299552088123,0.249083506724532,0.620284814808046,-5.68661772373264
"Nosip","Nosip","Mm_R_NGS_WTA_v1.0","Endogenous","66394","Nosip",FALSE,FALSE,0.137288902013514,6.09773611322317,1.18291573118353,0.24911449658288,0.620284814808046,-5.74310561612829
"Slc10a6","Slc10a6","Mm_R_NGS_WTA_v1.0","Endogenous","75750","Slc10a6",FALSE,FALSE,-0.15519919589522,4.11389051992198,-1.18290452655639,0.24911884862576,0.620284814808046,-5.65425449845338
"Gdi1","Gdi1","Mm_R_NGS_WTA_v1.0","Endogenous","14567","Gdi1",FALSE,FALSE,-0.147906205354744,6.84634941361836,-1.18290379703537,0.249119131984481,0.620284814808046,-5.71837847607978
"Emc3","Emc3","Mm_R_NGS_WTA_v1.0","Endogenous","66087","Emc3",FALSE,FALSE,0.150641922291691,6.31563953553443,1.18281434050325,0.24915388028832,0.620284814808046,-5.73711388606442
"Serpina3k","Serpina3k","Mm_R_NGS_WTA_v1.0","Endogenous","20714","Serpina3k",FALSE,FALSE,-0.22024922974893,3.42198169119343,-1.18326843405182,0.249158833009296,0.620284814808046,-5.50551109225565
"Tmed6","Tmed6","Mm_R_NGS_WTA_v1.0","Endogenous","66269","Tmed6",FALSE,FALSE,-0.170829973167852,4.00761629106746,-1.18278790334132,0.24916415017511,0.620284814808046,-5.63564776202315
"Ap3m2","Ap3m2","Mm_R_NGS_WTA_v1.0","Endogenous","64933","Ap3m2",FALSE,FALSE,0.165033026270958,4.24670967881089,1.18210371085675,0.249430044210388,0.620869323263339,-5.68077493837285
"Usp5","Usp5","Mm_R_NGS_WTA_v1.0","Endogenous","22225","Usp5",FALSE,FALSE,-0.150548880867219,5.17951747763875,-1.18194430395314,0.249492024043615,0.620872008167884,-5.7476192543254
"BC049715","BC049715","Mm_R_NGS_WTA_v1.0","Endogenous","320135","BC049715",FALSE,FALSE,0.161138974700459,3.72743189497797,1.18194095799133,0.249493325127624,0.620872008167884,-5.59189639820857
"Ogdh","Ogdh","Mm_R_NGS_WTA_v1.0","Endogenous","18293","Ogdh",FALSE,FALSE,0.166822888200951,8.39776517458126,1.18179053579826,0.249551822328998,0.620896965142729,-5.67273904971256
"Epx","Epx","Mm_R_NGS_WTA_v1.0","Endogenous","13861","Epx",FALSE,FALSE,-0.187263782529112,3.75494824783109,-1.18170896045781,0.249583550177417,0.620896965142729,-5.59612790391189
"Olfr1255","Olfr1255","Mm_R_NGS_WTA_v1.0","Endogenous","258979","Olfr1255",FALSE,FALSE,-0.158624046911592,3.830602863978,-1.18167525331157,0.24959666108653,0.620896965142729,-5.60893939557642
"Ciao3","Ciao3","Mm_R_NGS_WTA_v1.0","Endogenous","67563","Ciao3",FALSE,FALSE,0.144217666818754,5.58552968857653,1.18146404232501,0.24967882651686,0.621023973804645,-5.7538585510077
"AI854703","AI854703","Mm_R_NGS_WTA_v1.0","Endogenous","243373","AI854703",FALSE,FALSE,0.162177619271756,3.94982626552731,1.18132018961557,0.249734799733864,0.621043587053208,-5.63633422820417
"Olfr789","Olfr789","Mm_R_NGS_WTA_v1.0","Endogenous","258148","Olfr789",FALSE,FALSE,-0.232210897680011,3.83745320401257,-1.1915228760332,0.249748931366185,0.621043587053208,-5.59657078091779
"Ndfip2","Ndfip2","Mm_R_NGS_WTA_v1.0","Endogenous","76273","Ndfip2",FALSE,FALSE,0.18473525174606,8.56159266437903,1.1816596077198,0.249835964001683,0.621148960847281,-5.66835584827064
"Zfp961","Zfp961","Mm_R_NGS_WTA_v1.0","Endogenous","234413","Zfp961",FALSE,FALSE,-0.177868306427925,4.02260745621522,-1.18101511159874,0.249853536823307,0.621148960847281,-5.64082634950732
"Rab13","Rab13","Mm_R_NGS_WTA_v1.0","Endogenous","68328","Rab13",FALSE,FALSE,0.149442482520699,4.38189898407032,1.18091697857752,0.249891739374305,0.621166578648891,-5.69841520683225
"Cdh8","Cdh8","Mm_R_NGS_WTA_v1.0","Endogenous","12564","Cdh8",FALSE,FALSE,0.1890653426945,3.55903329068663,1.18076960071567,0.249949120804591,0.621231859888204,-5.55330239888912
"Septin12","Septin12","Mm_R_NGS_WTA_v1.0","Endogenous","71089","Septin12",FALSE,FALSE,0.187483464699618,3.65882239968647,1.18059378121638,0.250017588808266,0.621324676382351,-5.57834422157331
"Nus1","Nus1","Mm_R_NGS_WTA_v1.0","Endogenous","52014","Nus1",FALSE,FALSE,0.19653164950306,7.74029536435277,1.18494761486435,0.250292158155279,0.621859944665705,-5.68620368385872
"Zbtb24","Zbtb24","Mm_R_NGS_WTA_v1.0","Endogenous","268294","Zbtb24",FALSE,FALSE,-0.159727646876614,4.04653386962133,-1.17988106616112,0.250295279035663,0.621859944665705,-5.64782582720391
"Pou3f3","Pou3f3","Mm_R_NGS_WTA_v1.0","Endogenous","18993","Pou3f3",FALSE,FALSE,0.171843576985664,3.58535217246063,1.17974225479589,0.250349389880707,0.621891387232814,-5.56162989855481
"Tekt1","Tekt1","Mm_R_NGS_WTA_v1.0","Endogenous","21689","Tekt1",FALSE,FALSE,0.156811138193352,3.91229947961216,1.17968877645648,0.250370238901474,0.621891387232814,-5.63099502986931
"Hnrnpk","Hnrnpk","Mm_R_NGS_WTA_v1.0","Endogenous","15387","Hnrnpk",FALSE,FALSE,0.187404711954635,8.82386328512406,1.18035471167437,0.250435025158243,0.621896767835754,-5.66283525715257
"Cort","Cort","Mm_R_NGS_WTA_v1.0","Endogenous","12854","Cort",FALSE,FALSE,0.157990402881318,4.01425621088249,1.17948063834356,0.250451395770714,0.621896767835754,-5.64902476849879
"Lcor","Lcor","Mm_R_NGS_WTA_v1.0","Endogenous","212391","Lcor",FALSE,FALSE,0.139236230690342,6.75307256850789,1.17941158519688,0.250478325189898,0.621896767835754,-5.72599081341863
"Ifi207","Ifi207","Mm_R_NGS_WTA_v1.0","Endogenous","226691","Ifi207",FALSE,FALSE,0.155278721184282,4.182428815028,1.17936366356684,0.250497014986089,0.621896767835754,-5.67545461215688
"Nppa","Nppa","Mm_R_NGS_WTA_v1.0","Endogenous","230899","Nppa",FALSE,FALSE,0.14647726925613,6.02704822121298,1.17916389955404,0.250574935648344,0.621953506606855,-5.7491178288977
"Rps6ka6","Rps6ka6","Mm_R_NGS_WTA_v1.0","Endogenous","67071","Rps6ka6",FALSE,FALSE,-0.15334702105338,4.14406441620396,-1.17914431212912,0.250582576961196,0.621953506606855,-5.6616225609405
"Tas2r126","Tas2r126","Mm_R_NGS_WTA_v1.0","Endogenous","387353","Tas2r126",FALSE,FALSE,0.190478819845167,3.72686383985932,1.1790654726776,0.250613335027077,0.621953506606855,-5.59446391392008
"Olfr1040","Olfr1040","Mm_R_NGS_WTA_v1.0","Endogenous","404323","Olfr1040",FALSE,FALSE,-0.163951549748563,4.16064204878903,-1.17893573557635,0.250663956194114,0.621999657207494,-5.66372926328541
"Fam76b","Fam76b","Mm_R_NGS_WTA_v1.0","Endogenous","72826","Fam76b",FALSE,FALSE,-0.138958165511641,5.71443879826962,-1.17885811394558,0.250694246450508,0.621999657207494,-5.75300001196608
"Tank","Tank","Mm_R_NGS_WTA_v1.0","Endogenous","21353","Tank",FALSE,FALSE,-0.147621748471579,5.57993990039041,-1.17871477083485,0.250750190340059,0.622012590324795,-5.75416036945478
"Olfr707","Olfr707","Mm_R_NGS_WTA_v1.0","Endogenous","194433, 258173","Olfr707, Olfr1532-ps1",FALSE,FALSE,0.171008772714211,3.84999831588706,1.17868508921728,0.250761775631616,0.622012590324795,-5.62038514361317
"Olfr1116","Olfr1116","Mm_R_NGS_WTA_v1.0","Endogenous","257875","Olfr1116",FALSE,FALSE,-0.159142750436013,3.86500455751667,-1.1785982723913,0.250795664154612,0.622019361848493,-5.61890075607902
"Kcns1","Kcns1","Mm_R_NGS_WTA_v1.0","Endogenous","16538","Kcns1",FALSE,FALSE,0.172331801313165,3.91778728769359,1.17844422426826,0.250855804482807,0.622022859713382,-5.63308530949515
