"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4931406C07Rik","4931406C07Rik","Mm_R_NGS_WTA_v1.0","Endogenous","70984","4931406C07Rik",FALSE,FALSE,-1.9392826327498,7.91711851065894,-14.191207123848,9.36593703795637e-13,1.86972201088723e-08,18.0523798072645
"Cyp4f14","Cyp4f14","Mm_R_NGS_WTA_v1.0","Endogenous","64385","Cyp4f14",FALSE,FALSE,2.22554743467527,8.05376482596644,13.8294110944573,5.48049276823928e-12,5.47035385661804e-08,16.4488218819208
"Bmp1","Bmp1","Mm_R_NGS_WTA_v1.0","Endogenous","12153","Bmp1",FALSE,FALSE,1.40071846316512,5.37411151422667,11.2614963120989,9.39770863202171e-11,6.25354858070165e-07,14.3183139885344
"Cndp2","Cndp2","Mm_R_NGS_WTA_v1.0","Endogenous","66054","Cndp2",FALSE,FALSE,1.39563899743393,7.370947299535,9.6819871741759,1.63418147409422e-09,7.06528065930935e-06,11.6840450837836
"Fads3","Fads3","Mm_R_NGS_WTA_v1.0","Endogenous","60527","Fads3",FALSE,FALSE,-1.24128667774013,5.1109616400475,-9.59503583408211,1.92895703593491e-09,7.06528065930935e-06,11.5476913478436
"Slc6a8","Slc6a8","Mm_R_NGS_WTA_v1.0","Endogenous","102857","Slc6a8",FALSE,FALSE,1.36121767733375,7.94777989540307,9.54487726098515,2.12351269628092e-09,7.06528065930935e-06,11.4205501111946
"Slc3a1","Slc3a1","Mm_R_NGS_WTA_v1.0","Endogenous","20532","Slc3a1",FALSE,FALSE,1.50105245336112,7.64123758869942,9.62038815695724,3.04365146209761e-09,8.68005916255066e-06,11.1027882928152
"Tpm2","Tpm2","Mm_R_NGS_WTA_v1.0","Endogenous","22004","Tpm2",FALSE,FALSE,-1.25969289438763,6.22730840859589,-9.12707976909731,4.78641553133434e-09,1.15565552802922e-05,10.739377161897
"Tgfbi","Tgfbi","Mm_R_NGS_WTA_v1.0","Endogenous","21810","Tgfbi",FALSE,FALSE,1.14609323297694,5.43228444136242,9.03182174500847,5.77878398207737e-09,1.15565552802922e-05,10.5905713904367
"Bche","Bche","Mm_R_NGS_WTA_v1.0","Endogenous","12038","Bche",FALSE,FALSE,1.20666576616437,6.45658039960404,9.03093262937194,5.7889872665893e-09,1.15565552802922e-05,10.5706550362606
"Efna3","Efna3","Mm_R_NGS_WTA_v1.0","Endogenous","13638","Efna3",FALSE,FALSE,-1.39952458051617,4.39196058989123,-8.80219559517094,9.24381569330222e-09,1.67758447895811e-05,10.0248166973321
"Selenom","Selenom","Mm_R_NGS_WTA_v1.0","Endogenous","114679","Selenom",FALSE,FALSE,-1.21760086508163,6.89706342097438,-8.57875497701691,1.43885076603743e-08,2.39364815353376e-05,9.71290920923775
"Cldn4","Cldn4","Mm_R_NGS_WTA_v1.0","Endogenous","12740","Cldn4",FALSE,FALSE,-1.09915564253628,8.00550034312988,-8.33981934111566,2.35323002762737e-08,3.58608571834604e-05,9.22969518330326
"Slc5a1","Slc5a1","Mm_R_NGS_WTA_v1.0","Endogenous","20537","Slc5a1",FALSE,FALSE,1.29790571386387,6.8723770014688,8.53292732882846,2.51491259113583e-08,3.58608571834604e-05,9.20941914990605
"Hpgd","Hpgd","Mm_R_NGS_WTA_v1.0","Endogenous","15446","Hpgd",FALSE,FALSE,1.38961682177072,9.31193788921532,8.38610190372484,3.58381361838698e-08,4.74161328712461e-05,8.81361302134902
"Aoc1","Aoc1","Mm_R_NGS_WTA_v1.0","Endogenous","76507","Aoc1",FALSE,FALSE,1.29477625334397,8.67286389805402,8.20194823559068,3.80032122396402e-08,4.74161328712461e-05,8.77377154700631
"Ptk6","Ptk6","Mm_R_NGS_WTA_v1.0","Endogenous","20459","Ptk6",FALSE,FALSE,1.03872983537702,4.63962174871764,7.97641566147808,5.04573499570367e-08,5.4698371167195e-05,8.55371040181036
"Cd81","Cd81","Mm_R_NGS_WTA_v1.0","Endogenous","12520","Cd81",FALSE,FALSE,-1.15740225263726,5.6230694937326,-8.00296041603889,5.11282967259615e-08,5.4698371167195e-05,8.5498070782302
"H2bc3","H2bc3","Mm_R_NGS_WTA_v1.0","Endogenous","319178","H2bc3",FALSE,FALSE,-1.32361076418232,6.80275385123663,-8.35505066640439,5.72552740712041e-08,5.4698371167195e-05,8.45785570238231
"Nr1h3","Nr1h3","Mm_R_NGS_WTA_v1.0","Endogenous","22259","Nr1h3",FALSE,FALSE,1.01784993661213,5.53568914083441,7.91557551939628,5.74290134435896e-08,5.4698371167195e-05,8.45106725040834
"H2ac10","H2ac10","Mm_R_NGS_WTA_v1.0","Endogenous","319168, 319169, 319170, 319171, 319173, 319191, 665433, 319164, 319165, 319166, 319167","H2ac8, H2ac7, H2ac6, H2ac24, H2ac22, H2ac23, H2ac15, H2ac13, H2ac12, H2ac11, H2ac10",FALSE,FALSE,-1.26102728113821,9.38595005068743,-7.94048001069744,5.84673574450439e-08,5.4698371167195e-05,8.35833370467622
"Niban2","Niban2","Mm_R_NGS_WTA_v1.0","Endogenous","227737","Niban2",FALSE,FALSE,-0.939394102917839,5.77728379254194,-7.89286090175064,6.02797257766012e-08,5.4698371167195e-05,8.39682314644127
"H3c1","H3c1","Mm_R_NGS_WTA_v1.0","Endogenous","319152, 319153, 97908, 360198","H3c10, H3c11, H3c8, H3c1",FALSE,FALSE,-1.33333407378566,9.8058518481138,-7.92428177281189,9.04449522089563e-08,7.63491387746672e-05,7.95614830617769
"Gstm3","Gstm3","Mm_R_NGS_WTA_v1.0","Endogenous","14864","Gstm3",FALSE,FALSE,-1.19106871859581,6.74625849615924,-7.85750255343183,9.17887757647655e-08,7.63491387746672e-05,8.0056926388024
"Hspa5","Hspa5","Mm_R_NGS_WTA_v1.0","Endogenous","14828","Hspa5",FALSE,FALSE,-1.01341748735372,7.16260205419655,-7.65318362834119,1.00926113232521e-07,7.9188777593555e-05,7.89766177146344
"Cutal","Cutal","Mm_R_NGS_WTA_v1.0","Endogenous","77996","Cutal",FALSE,FALSE,1.1044602651653,6.90889925719953,7.62137279929316,1.08133924634825e-07,7.9188777593555e-05,7.83845830071585
"Pink1","Pink1","Mm_R_NGS_WTA_v1.0","Endogenous","68943","Pink1",FALSE,FALSE,1.06544394693486,7.24103814794595,7.61375623203811,1.09936956048301e-07,7.9188777593555e-05,7.81644184801108
"Relb","Relb","Mm_R_NGS_WTA_v1.0","Endogenous","19698","Relb",FALSE,FALSE,0.886060759867411,5.89522625838042,7.60903630614986,1.11069767701224e-07,7.9188777593555e-05,7.82881425706995
"Ckmt1","Ckmt1","Mm_R_NGS_WTA_v1.0","Endogenous","12716","Ckmt1",FALSE,FALSE,1.1829125034911,10.0583189691946,7.53319778857886,1.31011326302814e-07,9.01854864476923e-05,7.60025063253906
"Fchsd2","Fchsd2","Mm_R_NGS_WTA_v1.0","Endogenous","207278","Fchsd2",FALSE,FALSE,1.11881574094944,6.78502569375712,7.50290195972803,1.66911561231119e-07,0.000111068516561894,7.44180680388592
"Cracd","Cracd","Mm_R_NGS_WTA_v1.0","Endogenous","320827","Cracd",FALSE,FALSE,0.956253636137762,7.14466843888078,7.35659391389923,1.93016243939638e-07,0.000120678815767216,7.29091921698685
"Max","Max","Mm_R_NGS_WTA_v1.0","Endogenous","17187","Max",FALSE,FALSE,1.11175201163113,8.08182938659317,7.35559043004399,1.93443976584227e-07,0.000120678815767216,7.2740279687714
"H2ax","H2ax","Mm_R_NGS_WTA_v1.0","Endogenous","15270","H2ax",FALSE,FALSE,-1.03735221360785,5.59351305689263,-7.29464114912896,2.21336954899836e-07,0.000133895443353498,7.17240301141438
"Cyp2d10","Cyp2d10","Mm_R_NGS_WTA_v1.0","Endogenous","13105, 545123, 13101","Cyp2d9, Cyp2d10, Cyp2d11",FALSE,FALSE,1.02471568421764,5.39709147982862,7.26271996973591,2.47152399764192e-07,0.000139349313395016,7.07649277237045
"Gramd1b","Gramd1b","Mm_R_NGS_WTA_v1.0","Endogenous","235283","Gramd1b",FALSE,FALSE,1.00129988064223,5.48000384184443,7.23847932899364,2.5069535085547e-07,0.000139349313395016,7.06087745041233
"Trpv3","Trpv3","Mm_R_NGS_WTA_v1.0","Endogenous","246788","Trpv3",FALSE,FALSE,0.996222525557322,4.41552180758124,7.23199813306691,2.5433157040582e-07,0.000139349313395016,7.02722079574131
"Por","Por","Mm_R_NGS_WTA_v1.0","Endogenous","18984","Por",FALSE,FALSE,-0.90468980632022,7.48407066907992,-7.22507770553815,2.58274036748766e-07,0.000139349313395016,7.01291745361612
"Cyp2c55","Cyp2c55","Mm_R_NGS_WTA_v1.0","Endogenous","72082","Cyp2c55",FALSE,FALSE,-1.78296160095049,12.0395843633901,-8.47794710743367,2.83301009524521e-07,0.000147402385824218,6.87187016913887
"Itpripl2","Itpripl2","Mm_R_NGS_WTA_v1.0","Endogenous","319622","Itpripl2",FALSE,FALSE,1.19295012610337,5.23607875863758,7.63292760030641,2.87967392032485e-07,0.000147402385824218,6.98135621329122
"Tnfaip3","Tnfaip3","Mm_R_NGS_WTA_v1.0","Endogenous","21929","Tnfaip3",FALSE,FALSE,1.09219468731871,5.27050629292867,7.30574889675072,3.51844332482898e-07,0.000175596710233903,6.76813352690989
"Cobl","Cobl","Mm_R_NGS_WTA_v1.0","Endogenous","12808","Cobl",FALSE,FALSE,1.15325032993185,6.76168850915232,7.35567817623088,3.88027592573575e-07,0.000185083426762661,6.67747707773477
"Ube2c","Ube2c","Mm_R_NGS_WTA_v1.0","Endogenous","68612","Ube2c",FALSE,FALSE,-1.11652213891165,4.95543485592271,-7.19687572243318,3.94623786364453e-07,0.000185083426762661,6.63659896097963
"H1f5","H1f5","Mm_R_NGS_WTA_v1.0","Endogenous","56702","H1f5",FALSE,FALSE,-1.29617184762977,6.23953139950712,-7.76001475974477,3.9866690130714e-07,0.000185083426762661,6.69354806589405
"Plscr4","Plscr4","Mm_R_NGS_WTA_v1.0","Endogenous","235527","Plscr4",FALSE,FALSE,1.26394405407946,5.50743293842182,7.74149261413034,4.19866674644615e-07,0.000190495418771147,6.65805795034424
"Lrrc19","Lrrc19","Mm_R_NGS_WTA_v1.0","Endogenous","100061","Lrrc19",FALSE,FALSE,0.904244493237886,6.41061316871658,6.9836263302611,4.43471072378553e-07,0.000196733622619845,6.5159690139412
"Rorc","Rorc","Mm_R_NGS_WTA_v1.0","Endogenous","19885","Rorc",FALSE,FALSE,0.929810361469301,5.69759579760523,6.97142575662237,4.5584420587813e-07,0.000197826475694459,6.49386137086055
"Plaat3","Plaat3","Mm_R_NGS_WTA_v1.0","Endogenous","225845","Plaat3",FALSE,FALSE,-0.911076479065785,5.45596632037446,-6.94396557987378,4.8500449017841e-07,0.000206003077392162,6.43117707748688
"Bola2","Bola2","Mm_R_NGS_WTA_v1.0","Endogenous","66162","Bola2",FALSE,FALSE,-0.808443024792736,7.08714102061419,-6.82213331304568,6.39337731507028e-07,0.000265897898626558,6.16383491767949
"Cadps2","Cadps2","Mm_R_NGS_WTA_v1.0","Endogenous","320405","Cadps2",FALSE,FALSE,0.812104033062139,6.00817116037973,6.79622571806366,6.78189722077266e-07,0.00026815475230551,6.11557860613573
"Hmga1","Hmga1","Mm_R_NGS_WTA_v1.0","Endogenous","15361, 111241","Hmga1b, Hmga1",FALSE,FALSE,-0.936494266998179,7.12261024486519,-6.78864128547776,6.90015275134121e-07,0.00026815475230551,6.09153654290469
"Acsf2","Acsf2","Mm_R_NGS_WTA_v1.0","Endogenous","264895","Acsf2",FALSE,FALSE,-0.913666390830228,9.04760207638444,-6.78349481445113,6.98159703540247e-07,0.00026815475230551,6.06278518889137
"H1f1","H1f1","Mm_R_NGS_WTA_v1.0","Endogenous","80838","H1f1",FALSE,FALSE,-1.16067197904511,6.25277154633597,-7.2265774759044,6.98494570950584e-07,0.00026815475230551,6.14587068316516
"Carhsp1","Carhsp1","Mm_R_NGS_WTA_v1.0","Endogenous","52502","Carhsp1",FALSE,FALSE,-0.84087008714847,6.62783490201585,-6.73704002154476,7.76283827411796e-07,0.00029239535937022,5.9831857277283
"Slc17a5","Slc17a5","Mm_R_NGS_WTA_v1.0","Endogenous","235504","Slc17a5",FALSE,FALSE,1.0531781812543,6.27422145796362,6.93829398728218,8.01948652463993e-07,0.000294559754919434,5.98919950368744
"Oas1g","Oas1g","Mm_R_NGS_WTA_v1.0","Endogenous","23960","Oas1g",FALSE,FALSE,0.881697354546032,5.4616448532253,6.71762271110177,8.1154067627956e-07,0.000294559754919434,5.94575152950904
"Hdac1","Hdac1","Mm_R_NGS_WTA_v1.0","Endogenous","433759","Hdac1",FALSE,FALSE,-0.829117090850525,7.69764598248711,-6.70268860936019,8.39769894196792e-07,0.000299362971390189,5.9018851361674
"Prss32","Prss32","Mm_R_NGS_WTA_v1.0","Endogenous","69814","Prss32",FALSE,FALSE,1.06255731694566,9.69052818169711,6.6884842556513,8.74331992175843e-07,0.000303727715996004,5.84632845428741
"Arhgef2","Arhgef2","Mm_R_NGS_WTA_v1.0","Endogenous","16800","Arhgef2",FALSE,FALSE,0.811406410826491,6.47979280936118,6.68106206578659,8.8244289574554e-07,0.000303727715996004,5.86334190566132
"Arrdc3","Arrdc3","Mm_R_NGS_WTA_v1.0","Endogenous","105171","Arrdc3",FALSE,FALSE,0.922931874656109,5.7765172466653,6.66597434167082,9.13522959174235e-07,0.000309019202567159,5.8328724172428
"Cdk1","Cdk1","Mm_R_NGS_WTA_v1.0","Endogenous","12534","Cdk1",FALSE,FALSE,-0.932235422328389,4.63974010106818,-6.65876102986074,9.28775843011047e-07,0.000309019202567159,5.8051958981714
"Ccnd2","Ccnd2","Mm_R_NGS_WTA_v1.0","Endogenous","12444","Ccnd2",FALSE,FALSE,-0.876508678203334,6.24206447705689,-6.65079747165838,9.45918244808325e-07,0.000309563375755878,5.79732506154733
"Lxn","Lxn","Mm_R_NGS_WTA_v1.0","Endogenous","17035","Lxn",FALSE,FALSE,0.766268306334827,5.39083621305646,6.6388818785087,9.72174851978501e-07,0.000313024622097529,5.77381954574031
"Oxct1","Oxct1","Mm_R_NGS_WTA_v1.0","Endogenous","67041","Oxct1",FALSE,FALSE,0.806468049459121,7.09538775972191,6.6065815532434,1.04716712618362e-06,0.000328694197849923,5.69749805389352
"Fam13a","Fam13a","Mm_R_NGS_WTA_v1.0","Endogenous","58909","Fam13a",FALSE,FALSE,-0.810694809245575,5.21235253845038,-6.60385149737298,1.05377090930196e-06,0.000328694197849923,5.69465833201385
"Cyp2d34","Cyp2d34","Mm_R_NGS_WTA_v1.0","Endogenous","223706","Cyp2d34",FALSE,FALSE,2.08941501109185,6.67998375060824,9.4642332749235,1.08011781678563e-06,0.000331729107330639,5.84925022032076
"H4c11","H4c11","Mm_R_NGS_WTA_v1.0","Endogenous","319160, 319159","H4c11, H4c12",FALSE,FALSE,-0.973959996915579,8.14444207252842,-6.57943096527814,1.11477155608938e-06,0.000337184614760791,5.63173293137361
"Tef","Tef","Mm_R_NGS_WTA_v1.0","Endogenous","21685","Tef",FALSE,FALSE,0.888937535737647,5.93583120332116,6.53675107952642,1.23020037133281e-06,0.000363912394566778,5.54925567737769
"Ifitm2","Ifitm2","Mm_R_NGS_WTA_v1.0","Endogenous","80876","Ifitm2",FALSE,FALSE,-0.793571148540432,6.54158281276673,-6.53345950450181,1.2395953930041e-06,0.000363912394566778,5.53984609865543
"Mgll","Mgll","Mm_R_NGS_WTA_v1.0","Endogenous","23945","Mgll",FALSE,FALSE,-0.787001514934214,6.82490690948203,-6.52340520899347,1.26875005235089e-06,0.000367073294131606,5.51683409666417
"Trim34a","Trim34a","Mm_R_NGS_WTA_v1.0","Endogenous","94094","Trim34a",FALSE,FALSE,0.785594459977084,4.95841478564628,6.47834824676915,1.40827106994018e-06,0.000401618790988796,5.42012189754684
"Blvrb","Blvrb","Mm_R_NGS_WTA_v1.0","Endogenous","233016","Blvrb",FALSE,FALSE,-0.820587961609233,6.44957192449805,-6.46361938732887,1.45720661314571e-06,0.000406649346114472,5.38649860503312
"Ctsz","Ctsz","Mm_R_NGS_WTA_v1.0","Endogenous","64138","Ctsz",FALSE,FALSE,-0.840173618804209,6.75741816036711,-6.45843703730043,1.47483521352744e-06,0.000406649346114472,5.37428019966621
"S100a14","S100a14","Mm_R_NGS_WTA_v1.0","Endogenous","66166","S100a14",FALSE,FALSE,-0.790928768912937,5.48120357862272,-6.45489159216896,1.48702110235718e-06,0.000406649346114472,5.36808341351084
"Cldn23","Cldn23","Mm_R_NGS_WTA_v1.0","Endogenous","71908","Cldn23",FALSE,FALSE,-0.895482053386828,6.7112009937283,-6.436335467286,1.55249974532782e-06,0.000418818275891612,5.32567760744643
"Clec2j","Clec2j","Mm_R_NGS_WTA_v1.0","Endogenous","677440","Clec2j",FALSE,FALSE,1.22883523651113,5.96883051860372,7.22303332903941,1.6347520987239e-06,0.000435127415291004,5.40485098807744
"Slc10a2","Slc10a2","Mm_R_NGS_WTA_v1.0","Endogenous","20494","Slc10a2",FALSE,FALSE,1.71179498584084,8.59697899135385,8.09269719775085,1.69496039123887e-06,0.000445217030135546,5.38885787499351
"Trp53inp2","Trp53inp2","Mm_R_NGS_WTA_v1.0","Endogenous","68728","Trp53inp2",FALSE,FALSE,0.896512934704694,7.56370299139798,6.38307642263031,1.7572949753341e-06,0.000451712286181194,5.20524114607275
"Malrd1","Malrd1","Mm_R_NGS_WTA_v1.0","Endogenous","102635496","Malrd1",FALSE,FALSE,0.825890615492979,5.86572345237717,6.38121245113194,1.76494306076908e-06,0.000451712286181194,5.20530530877638
"Ftl1","Ftl1","Mm_R_NGS_WTA_v1.0","Endogenous","14325, 100862446","LOC100862446, Ftl1",FALSE,FALSE,-0.873392127964134,10.6108266219421,-6.33539399028189,1.96402852066732e-06,0.000496302548836478,5.08178475676212
"Zmiz1","Zmiz1","Mm_R_NGS_WTA_v1.0","Endogenous","328365","Zmiz1",FALSE,FALSE,0.882508170352441,7.54272923069448,6.27548752836865,2.25943128619417e-06,0.000563812834578678,4.96749218226391
"Adam15","Adam15","Mm_R_NGS_WTA_v1.0","Endogenous","11490","Adam15",FALSE,FALSE,-0.822872060722604,6.06456747609509,-6.25771391770354,2.35552724070114e-06,0.000580535682791566,4.93003028093205
"Ggt1","Ggt1","Mm_R_NGS_WTA_v1.0","Endogenous","14598","Ggt1",FALSE,FALSE,-1.30719468310672,5.39508802922056,-7.16565276456827,2.74226276713214e-06,0.000667607214881205,4.93803279075127
"Fahd1","Fahd1","Mm_R_NGS_WTA_v1.0","Endogenous","68636","Fahd1",FALSE,FALSE,0.77851985140997,6.79240277370842,6.13794425759094,3.12172652592867e-06,0.00075083164623029,4.6619131707113
"Endog","Endog","Mm_R_NGS_WTA_v1.0","Endogenous","13804","Endog",FALSE,FALSE,0.74445795610874,5.91060384242977,6.13200155490983,3.16578850555433e-06,0.000752364713528347,4.64765117204991
"Retreg1","Retreg1","Mm_R_NGS_WTA_v1.0","Endogenous","66270","Retreg1",FALSE,FALSE,0.841452466332114,6.49797044765008,6.10611920718304,3.3652162636336e-06,0.00079035073259903,4.59020004681419
"Tsku","Tsku","Mm_R_NGS_WTA_v1.0","Endogenous","244152","Tsku",FALSE,FALSE,-0.88568699719246,6.97049423853161,-6.09012740552507,3.49479630596238e-06,0.000803263750610188,4.55457886234248
"Gpx2","Gpx2","Mm_R_NGS_WTA_v1.0","Endogenous","14776","Gpx2",FALSE,FALSE,-1.01377277207145,7.04643085031863,-6.34019845524542,3.50067356124262e-06,0.000803263750610188,4.60340921139299
"Glrx5","Glrx5","Mm_R_NGS_WTA_v1.0","Endogenous","73046","Glrx5",FALSE,FALSE,-0.77018176174506,6.69764318933,-6.07078352820312,3.65836269156107e-06,0.000814572441994539,4.51096459538173
"Snx9","Snx9","Mm_R_NGS_WTA_v1.0","Endogenous","66616","Snx9",FALSE,FALSE,0.786756713174188,6.69967393649376,6.06937401959375,3.67058204476769e-06,0.000814572441994539,4.50769496097755
"Ace2","Ace2","Mm_R_NGS_WTA_v1.0","Endogenous","70008","Ace2",FALSE,FALSE,1.67127264102095,4.95551929165188,7.96887109087002,3.67236987324092e-06,0.000814572441994539,4.75132916492059
"Stmn1","Stmn1","Mm_R_NGS_WTA_v1.0","Endogenous","16765","Stmn1",FALSE,FALSE,-0.821171787902894,5.82551081456571,-6.00819771264378,4.24307687026625e-06,0.000930819160012364,4.36877012568398
"Gpd1","Gpd1","Mm_R_NGS_WTA_v1.0","Endogenous","14555","Gpd1",FALSE,FALSE,-0.775252911569946,5.25415034557093,-5.98112249077092,4.52476305266545e-06,0.000975090573380099,4.30790919397387
"Pklr","Pklr","Mm_R_NGS_WTA_v1.0","Endogenous","18770","Pklr",FALSE,FALSE,0.795181839239921,7.00861210326776,5.97946863893738,4.54257492983766e-06,0.000975090573380099,4.30522761875397
"Ifit1bl2","Ifit1bl2","Mm_R_NGS_WTA_v1.0","Endogenous","112419","Ifit1bl2",FALSE,FALSE,0.769427503890924,5.60865360301568,5.9630487019334,4.72334059090383e-06,0.000999512460588775,4.26481783676633
"Fcho1","Fcho1","Mm_R_NGS_WTA_v1.0","Endogenous","74015","Fcho1",FALSE,FALSE,-0.743682674169159,4.73873265347811,-5.96010771023468,4.75648368260951e-06,0.000999512460588775,4.26177533179122
"Calml4","Calml4","Mm_R_NGS_WTA_v1.0","Endogenous","75600","Calml4",FALSE,FALSE,0.875537629676709,8.52427229551325,5.92324836615666,5.1925344649441e-06,0.00106995582957447,4.17844628634148
"Ctsl","Ctsl","Mm_R_NGS_WTA_v1.0","Endogenous","13039","Ctsl",FALSE,FALSE,-0.82840824506881,7.46182087009702,-5.9227336522698,5.19890374536512e-06,0.00106995582957447,4.17744518591315
"Galnt3","Galnt3","Mm_R_NGS_WTA_v1.0","Endogenous","14425","Galnt3",FALSE,FALSE,-0.76580004656218,6.12212525546422,-5.90305257676679,5.44851037898634e-06,0.00110988380301739,4.13039643696307
"Septin5","Septin5","Mm_R_NGS_WTA_v1.0","Endogenous","18951","Septin5",FALSE,FALSE,0.769634913534841,8.16927932110147,5.88108577403638,5.74155960323786e-06,0.00115776519554987,4.08356771435255
"Nav2","Nav2","Mm_R_NGS_WTA_v1.0","Endogenous","78286","Nav2",FALSE,FALSE,-0.811468524080468,4.16481395652953,-5.85520445934163,6.10751262393382e-06,0.00121924274511591,4.02350290395389
"Tfcp2l1","Tfcp2l1","Mm_R_NGS_WTA_v1.0","Endogenous","81879","Tfcp2l1",FALSE,FALSE,0.866995438727175,8.24975311319182,5.84145204219073,6.31154213229442e-06,0.00124749817412865,3.99396365193121
"Fbxo4","Fbxo4","Mm_R_NGS_WTA_v1.0","Endogenous","106052","Fbxo4",FALSE,FALSE,0.828317206639531,5.46424347879234,5.85516457487159,6.38908945022406e-06,0.00125044502641983,3.98055312397402
"Ubxn6","Ubxn6","Mm_R_NGS_WTA_v1.0","Endogenous","66530","Ubxn6",FALSE,FALSE,0.757154652739664,6.36847425452593,5.82602543269235,6.54868269328041e-06,0.00126923643306754,3.95467926819644
"H1f3","H1f3","Mm_R_NGS_WTA_v1.0","Endogenous","14957","H1f3",FALSE,FALSE,-1.05811778367001,5.31263054553391,-6.27027401379302,7.13342746673295e-06,0.00136927512036913,3.97998603404229
"Ldb3","Ldb3","Mm_R_NGS_WTA_v1.0","Endogenous","24131","Ldb3",FALSE,FALSE,0.735093162111682,5.84933438111112,5.77878274262149,7.33287600975148e-06,0.0013941543217397,3.84443945588932
"Il22ra1","Il22ra1","Mm_R_NGS_WTA_v1.0","Endogenous","230828","Il22ra1",FALSE,FALSE,0.860953297268985,6.83291257354983,5.78825451129756,7.90556606092881e-06,0.00148885674787096,3.78733511461314
"Themis3","Themis3","Mm_R_NGS_WTA_v1.0","Endogenous","74556","Themis3",FALSE,FALSE,0.698214383927083,6.81700331198412,5.72626790614172,8.31744659325507e-06,0.00154189472581061,3.72861053851808
"1810065E05Rik","1810065E05Rik","Mm_R_NGS_WTA_v1.0","Endogenous","69864","1810065E05Rik",FALSE,FALSE,-0.785062194375403,11.2229520897384,-5.72505737774167,8.34166359703179e-06,0.00154189472581061,3.72696111456672
"Cbr3","Cbr3","Mm_R_NGS_WTA_v1.0","Endogenous","109857","Cbr3",FALSE,FALSE,-1.02107065009138,6.36399548380707,-6.13529086760852,8.65316505279005e-06,0.00158421632680526,3.78851475391551
"H2ac18","H2ac18","Mm_R_NGS_WTA_v1.0","Endogenous","667728, 319192, 15267, 319176","H2af-ps2, H2ac20, H2ac19, H2ac18",FALSE,FALSE,-0.844251809408638,8.15913352822791,-5.70615080053347,8.72933907471713e-06,0.00158421632680526,3.68663091425485
"Ifrd1","Ifrd1","Mm_R_NGS_WTA_v1.0","Endogenous","15982","Ifrd1",FALSE,FALSE,-0.842490717891883,7.40833893948411,-5.70237205012371,8.80899232521002e-06,0.0015842694935871,3.67624847691415
"Gstt1","Gstt1","Mm_R_NGS_WTA_v1.0","Endogenous","14871","Gstt1",FALSE,FALSE,-0.851281054359781,4.90035266906755,-5.69277022736852,9.90730428240577e-06,0.00176588853026488,3.57286999376661
"H4c14","H4c14","Mm_R_NGS_WTA_v1.0","Endogenous","97122","H4c14",FALSE,FALSE,-0.930623133663079,5.85739335272178,-5.89936397661773,1.00511191072489e-05,0.00176781376615931,3.60888183646499
"Krt7","Krt7","Mm_R_NGS_WTA_v1.0","Endogenous","110310","Krt7",FALSE,FALSE,-1.16738736463999,6.00349378299377,-6.43597024295819,1.01784372543176e-05,0.00176781376615931,3.70655601837738
"Egln2","Egln2","Mm_R_NGS_WTA_v1.0","Endogenous","112406","Egln2",FALSE,FALSE,-0.774632718532583,8.44009860944338,-5.6421188217211,1.01837691283034e-05,0.00176781376615931,3.54110470599297
"Snapc5","Snapc5","Mm_R_NGS_WTA_v1.0","Endogenous","330959","Snapc5",FALSE,FALSE,0.803513636874056,6.41292581580879,5.62916959486701,1.05548012185136e-05,0.00181642669590678,3.49946914856101
"Pdia3","Pdia3","Mm_R_NGS_WTA_v1.0","Endogenous","14827","Pdia3",FALSE,FALSE,-0.670928809506488,8.09034595080759,-5.62145202708842,1.07039913521117e-05,0.00182635708856586,3.49312501397903
"Nlrp9b","Nlrp9b","Mm_R_NGS_WTA_v1.0","Endogenous","243874","Nlrp9b",FALSE,FALSE,0.984543914081841,6.20597260683026,6.01545819961963,1.08253955621715e-05,0.00183141840345449,3.57196913221794
"Krt18","Krt18","Mm_R_NGS_WTA_v1.0","Endogenous","16668","Krt18",FALSE,FALSE,-1.03348960012656,7.9058148508976,-5.9814222394734,1.10593883648947e-05,0.00185528210023859,3.54831137839026
"Nqo1","Nqo1","Mm_R_NGS_WTA_v1.0","Endogenous","18104","Nqo1",FALSE,FALSE,-0.7667999313969,6.570448481638,-5.59816459105555,1.13226297439937e-05,0.00188361381316121,3.43370917158964
"Iyd","Iyd","Mm_R_NGS_WTA_v1.0","Endogenous","70337","Iyd",FALSE,FALSE,0.733896770713759,5.29238965741984,5.58102323165495,1.18011025699812e-05,0.00194698686450028,3.38854756297316
"Erbb3","Erbb3","Mm_R_NGS_WTA_v1.0","Endogenous","13867","Erbb3",FALSE,FALSE,0.780350504418887,8.3692003730673,5.57070543631313,1.20989573299031e-05,0.00197976627194144,3.37774971078008
"Otub1","Otub1","Mm_R_NGS_WTA_v1.0","Endogenous","107260","Otub1",FALSE,FALSE,0.806113851690517,6.93337260179505,5.56319560072104,1.23205429409209e-05,0.00198971466059709,3.35462736552642
