"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_EXTRINSIC_PATHWAY",13,0.230769230769231,0.0769230769230769,"Down",0.1185,0.262905882352941,0.403,0.439581818181818
"BIOCARTA_TCAPOPTOSIS_PATHWAY",9,0,0.111111111111111,"Up",0.1227,0.262905882352941,0.413,0.448549137931035
"BIOCARTA_LONGEVITY_PATHWAY",15,0,0.133333333333333,"Up",0.0621,0.203072727272727,0.4205,0.454735622317597
"BIOCARTA_CTBP1_PATHWAY",8,0,0,"Up",0.8427,0.902234745762712,0.4375,0.4711
"BIOCARTA_TOB1_PATHWAY",19,0.0526315789473684,0.0526315789473684,"Up",0.1415,0.274410687022901,0.4411,0.472873728813559
"BIOCARTA_ERYTH_PATHWAY",15,0.0666666666666667,0.133333333333333,"Up",0.2209,0.34783875,0.4429,0.472873728813559
"BIOCARTA_BBCELL_PATHWAY",6,0,0.166666666666667,"Up",0.1963,0.338339597315436,0.4507,0.479172151898734
"BIOCARTA_HDAC_PATHWAY",24,0,0.166666666666667,"Up",0.1139,0.262905882352941,0.4568,0.481594142259414
"BIOCARTA_IL17_PATHWAY",13,0,0.0769230769230769,"Up",0.1242,0.262905882352941,0.4568,0.481594142259414
"BIOCARTA_PLC_PATHWAY",9,0,0.222222222222222,"Up",0.1401,0.274410687022901,0.5054,0.5306175
"BIOCARTA_SLRP_PATHWAY",6,0.333333333333333,0,"Down",0.2441,0.375003658536585,0.5138,0.537199170124481
"BIOCARTA_LECTIN_PATHWAY",10,0,0.1,"Up",0.8082,0.881618181818182,0.553,0.575799173553719
"BIOCARTA_TUBBY_PATHWAY",5,0,0,"Up",0.2057,0.341443421052632,0.6145,0.637207407407407
"BIOCARTA_MSP_PATHWAY",6,0.166666666666667,0,"Up",0.9572,0.972122891566265,0.6264,0.64688606557377
"BIOCARTA_IL5_PATHWAY",8,0,0.125,"Up",0.1083,0.262905882352941,0.6492,0.664982926829268
"BIOCARTA_STEM_PATHWAY",14,0.142857142857143,0,"Down",0.5835,0.692881690140845,0.6481,0.664982926829268
"BIOCARTA_INTRINSIC_PATHWAY",23,0.0869565217391304,0.130434782608696,"Up",0.8185,0.889006034482759,0.6631,0.676472064777328
"BIOCARTA_CREM_PATHWAY",6,0,0.166666666666667,"Up",0.3115,0.424245405405405,0.6664,0.677097580645161
"BIOCARTA_BARRESTIN_PATHWAY",11,0.181818181818182,0,"Down",0.2541,0.384337278106509,0.724,0.7297416
"BIOCARTA_PTDINS_PATHWAY",15,0,0.133333333333333,"Up",0.322,0.43155,0.7227,0.7297416
"BIOCARTA_ACH_PATHWAY",14,0,0.142857142857143,"Up",0.265,0.392749411764706,0.9065,0.910061354581673
"BIOCARTA_INFLAM_PATHWAY",23,0.0434782608695652,0,"Up",0.4435,0.555967164179105,0.9731,0.9731
