"","NGenes","Direction","PValue","FDR"
"BIOCARTA_PKC_PATHWAY",7,"Up",0.070776820871027,0.244614560896693
"BIOCARTA_CLASSIC_PATHWAY",11,"Up",0.0708605672438833,0.244614560896693
"BIOCARTA_CERAMIDE_PATHWAY",22,"Up",0.0730996198834039,0.248933840684024
"BIOCARTA_NKT_PATHWAY",27,"Up",0.0747444957282411,0.249324430298102
"BIOCARTA_IL6_PATHWAY",22,"Up",0.0751930821533957,0.249324430298102
"BIOCARTA_VDR_PATHWAY",22,"Up",0.0799333378074671,0.26160001464262
"BIOCARTA_RELA_PATHWAY",15,"Up",0.0851480630216317,0.275093742069887
"BIOCARTA_TNFR2_PATHWAY",17,"Up",0.0896062072962478,0.279997021388541
"BIOCARTA_MCM_PATHWAY",13,"Down",0.089620078744933,0.279997021388541
"BIOCARTA_MET_PATHWAY",33,"Up",0.0902648214863183,0.279997021388541
"BIOCARTA_GABA_PATHWAY",10,"Up",0.0911101418803982,0.279997021388541
"BIOCARTA_MTOR_PATHWAY",19,"Up",0.0924519302739518,0.280697426855854
"BIOCARTA_RAB_PATHWAY",12,"Up",0.0956749506020357,0.287024851806107
"BIOCARTA_STATHMIN_PATHWAY",19,"Down",0.0993534449641523,0.294553742717252
"BIOCARTA_SET_PATHWAY",11,"Down",0.104209144871368,0.305357029157961
"BIOCARTA_IGF1R_PATHWAY",22,"Up",0.105774604492802,0.306381613013632
"BIOCARTA_PELP1_PATHWAY",5,"Up",0.113748720279166,0.322271223542329
"BIOCARTA_FREE_PATHWAY",8,"Up",0.113818011489156,0.322271223542329
"BIOCARTA_NUCLEARRS_PATHWAY",30,"Up",0.116677156999088,0.326696039597447
"BIOCARTA_GCR_PATHWAY",16,"Up",0.125981694885384,0.34667327681724
"BIOCARTA_EGFR_SMRTE_PATHWAY",11,"Up",0.127777173541112,0.34667327681724
"BIOCARTA_TERC_PATHWAY",6,"Up",0.128524241451858,0.34667327681724
"BIOCARTA_STRESS_PATHWAY",24,"Up",0.129904025815874,0.34667327681724
"BIOCARTA_IL2_PATHWAY",23,"Up",0.130690322609674,0.34667327681724
"BIOCARTA_EIF_PATHWAY",8,"Up",0.134927601756157,0.353813432290933
"BIOCARTA_HIVNEF_PATHWAY",54,"Up",0.137054634537281,0.353813432290933
"BIOCARTA_WNT_PATHWAY",23,"Up",0.138523394849775,0.353813432290933
"BIOCARTA_AGR_PATHWAY",31,"Up",0.140271468893347,0.353813432290933
"BIOCARTA_D4GDI_PATHWAY",12,"Down",0.141615253158965,0.353813432290933
"BIOCARTA_AKAP13_PATHWAY",9,"Up",0.141903250589074,0.353813432290933
"BIOCARTA_MELANOCYTE_PATHWAY",7,"Up",0.145496608707533,0.353813432290933
"BIOCARTA_ACTINY_PATHWAY",10,"Up",0.145964507317216,0.353813432290933
"BIOCARTA_CTL_PATHWAY",13,"Up",0.146018241897846,0.353813432290933
"BIOCARTA_SODD_PATHWAY",10,"Up",0.149728716676784,0.359348920024281
"BIOCARTA_CARDIACEGF_PATHWAY",18,"Up",0.153063091266495,0.363885839614686
"BIOCARTA_CARM1_PATHWAY",11,"Up",0.16466035790441,0.383977856645156
"BIOCARTA_NFAT_PATHWAY",47,"Up",0.166426411959599,0.383977856645156
"BIOCARTA_EICOSANOID_PATHWAY",20,"Down",0.167976847506685,0.383977856645156
"BIOCARTA_41BB_PATHWAY",18,"Up",0.168318816320589,0.383977856645156
"BIOCARTA_CACAM_PATHWAY",6,"Up",0.169133103522271,0.383977856645156
"BIOCARTA_NO2IL12_PATHWAY",15,"Up",0.171142303230683,0.385070182269036
"BIOCARTA_IGF1_PATHWAY",22,"Up",0.176626572199955,0.387856844970571
"BIOCARTA_EPO_PATHWAY",20,"Up",0.176754096402941,0.387856844970571
"BIOCARTA_DEATH_PATHWAY",30,"Up",0.176998163379427,0.387856844970571
"BIOCARTA_COMP_PATHWAY",16,"Up",0.179612966738309,0.388310567082593
"BIOCARTA_MCALPAIN_PATHWAY",19,"Up",0.180287049002632,0.388310567082593
"BIOCARTA_UCALPAIN_PATHWAY",12,"Up",0.183368848949555,0.391601270638032
"BIOCARTA_EOSINOPHILS_PATHWAY",6,"Up",0.186881441199852,0.39574893430557
"BIOCARTA_FCER1_PATHWAY",38,"Up",0.189741817074347,0.398457815856128
"BIOCARTA_LIS1_PATHWAY",14,"Up",0.191758365341952,0.399364529472495
"BIOCARTA_SLRP_PATHWAY",6,"Down",0.19382806408423,0.40036616515759
"BIOCARTA_RB_PATHWAY",12,"Down",0.198611951870242,0.404480965429054
"BIOCARTA_IRES_PATHWAY",6,"Down",0.199030316322233,0.404480965429054
"BIOCARTA_FOSB_PATHWAY",5,"Up",0.206157109598611,0.407006729780517
"BIOCARTA_NOS1_PATHWAY",19,"Up",0.207271382668431,0.407006729780517
"BIOCARTA_PTC1_PATHWAY",11,"Down",0.20748690570605,0.407006729780517
"BIOCARTA_AKAP95_PATHWAY",10,"Down",0.207925955387914,0.407006729780517
"BIOCARTA_PGC1A_PATHWAY",13,"Up",0.208598710662221,0.407006729780517
"BIOCARTA_RACCYCD_PATHWAY",25,"Up",0.211774556291595,0.407006729780517
"BIOCARTA_NGF_PATHWAY",20,"Up",0.212947423049843,0.407006729780517
"BIOCARTA_DNAFRAGMENT_PATHWAY",10,"Down",0.213194001313604,0.407006729780517
"BIOCARTA_CDC25_PATHWAY",8,"Down",0.216623689865348,0.408303602936315
"BIOCARTA_ALTERNATIVE_PATHWAY",8,"Up",0.217113820608993,0.408303602936315
"BIOCARTA_IL4_PATHWAY",11,"Up",0.219488839463009,0.40971250033095
"BIOCARTA_INSULIN_PATHWAY",23,"Up",0.228158384197511,0.420762447687609
"BIOCARTA_GATA3_PATHWAY",14,"Up",0.228747838623819,0.420762447687609
"BIOCARTA_MALATEX_PATHWAY",8,"Down",0.233850961331257,0.427032190257078
"BIOCARTA_DREAM_PATHWAY",12,"Up",0.242035792801793,0.438798703496777
"BIOCARTA_VIP_PATHWAY",24,"Up",0.246409100488588,0.443536380879458
"BIOCARTA_ERAD_PATHWAY",14,"Down",0.265872439240774,0.475176274387765
